,address,end_time,forestry,municipality,start_time,area
7398,ΚΡΟΚΙΟ,2018-06-05 19:20:00,ΑΛΜΥΡΟΥ,Δ. ΑΛΜΥΡΟΥ,2018-06-05 18:25:00,0.5
7399,ΠΛΗΣΙΟΝ ΟΙΚΙΣΜΟΥ ΡΟΜΑ,2018-06-05 00:35:00,ΚΑΡΔΙΤΣΑΣ,Δ. ΣΟΦΑΔΩΝ,2018-06-05 00:15:00,0.4
7400,ΑΚΡΟΠΟΤΑΜΙΑ-ΠΗΝΕΙΑΣ,2018-06-05 21:58:00,ΑΜΑΛΙΑΔΑΣ,Δ. ΗΛΙΔΑΣ,2018-06-05 19:40:00,3.0
7401,ΜΕΤΟΧΙ,2018-06-05 17:50:00,ΠΑΤΡΩΝ,,2018-06-05 16:20:00,6.0
7402,Τ.Κ. ΑΡΙΟΧΩΡΙΟΥ,2018-06-05 15:20:00,ΚΑΛΑΜΑΤΑΣ,Δ. ΚΑΛΑΜΑΤΑΣ,2018-06-05 14:27:00,3.0
7403,Τ.Κ. ΑΡΦΑΡΩΝ,2018-06-05 22:17:00,ΚΑΛΑΜΑΤΑΣ,Δ. ΚΑΛΑΜΑΤΑΣ,2018-06-05 21:19:00,1.5
7404,"""""""ΚΛΕΙΣΟΥΡΑ"""" Τ.Κ. ΛΙΜΝΩΝ""",,,Δ. ΑΡΓΟΥΣ - ΜΥΚΗΝΩΝ,2018-06-05 09:49:00,0.05
7405,"""""""ΚΑΡΑΚΑΞΑ-ΛΑΧΑΝΑΓΟΡΑ"""" Τ.Κ. Ν. ΚΙΟΥ""",,,Δ. ΑΡΓΟΥΣ - ΜΥΚΗΝΩΝ,2018-06-05 22:02:00,0.05
7406,ΕΞΑΜΙΛΙΑ,,,Δ. ΚΟΡΙΝΘΙΩΝ,2018-06-05 13:14:00,1.0
7407,Τ.Κ ΑΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ,2018-06-05 17:43:00,ΔΑΣΑΡΧΕΙΟ ΑΜΦΙΣΣΑΣ,Δ. ΔΕΛΦΩΝ,2018-06-05 17:00:00,0.05
7408,ΠΑΡΑΛΙΜΝΗ,2018-06-05 19:20:00,,Δ. ΘΗΒΑΙΩΝ,2018-06-05 16:19:00,4.0
7409,"""""""ΓΑΙΔΟΥΡΟΣΤΑΣΗ""""""",2018-06-05 13:30:00,ΧΑΛΚΙΔΑΣ,Δ. ΧΑΛΚΙΔΕΩΝ,2018-06-05 13:00:00,1.0
7410,"""""""ΚΟΥΤΣΟΥΡΙ""""""",2018-06-08 19:16:00,ΧΑΛΚΙΔΑΣ,Δ. ΔΙΡΦΥΩΝ - ΜΕΣΣΑΠΙΩΝ,2018-06-05 13:35:00,2.0
7411,ΜΟΡΙΑ ΜΥΤΙΛΗΝΗΣ,2018-06-06 21:45:00,ΔΙΕΥΘΥΝΣΗ ΔΑΣΩΝ ΛΕΣΒΟΥ,Δ. ΛΕΣΒΟΥ,2018-06-05 19:19:00,1.0
7412,ΜΕΓΑ ΛΑΚΟΣ,2018-06-05 19:26:00,,Δ. ΚΕΦΑΛΛΟΝΙΑΣ,2018-06-05 18:05:00,2.0
7413,3ΧΛΜ ΕΠΑΡΧ. ΟΔΟΥ ΣΑΠΩΝ ΚΟΜΟΤΗΝΗΣ,2018-06-06 15:50:00,Δ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,Δ. ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ,2018-06-06 15:00:00,5.0
7414,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΣΩΣΤΗ,2018-06-06 16:35:00,Δ/ΝΣΗ ΔΑΣΩΝ Ν. ΡΟΔΟΠΗΣ,Δ. ΙΑΣΜΟΥ,2018-06-06 16:05:00,13.0
7415,Τ.Δ. ΝΕΟΣ ΞΕΡΙΑΣ,2018-06-06 12:45:00,ΚΑΒΑΛΑΣ,Δ. ΝΕΣΤΟΥ,2018-06-06 12:18:00,0.05
7416,ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΠΕΡΝΗΣ,2018-06-06 16:03:00,ΚΑΒΑΛΑΣ,Δ. ΝΕΣΤΟΥ,2018-06-06 15:39:00,0.01
