address,agricultural_area_burned,airplanes_cl215,airplanes_cl415,airplanes_gru,airplanes_pzl,army,crop_residue_area_burned,dumping_ground_area_burned,end_time,firefighters,fire_station,fire_trucks,forest_area_burned,forestry,grove_area_burned,helicopters,local_authorities_vehicles,location,low_vegetation_area_burned,machinery,municipality,other_firefighters,prefecture,start_time,swamp_area_burned,volunteers,water_tank_trucks,wildland_crew,woodland_area_burned
ΜΥΛΟΠΟΤΑΜΟΣ,0.0,0,0,0,0,0,0.5,0.0,2018-08-12 18:09:00,2,Π.Υ. ΔΡΑΜΑΣ,1,0.0,ΔΡΑΜΑΣ,0.0,0,0,,0.0,0,Δ. ΔΡΑΜΑΣ,0,ΔΡΑΜΑΣ,2018-08-12 17:40:00,0.0,0,0,0,0.0
ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΧΕΙΜΩΝΙΟΥ,0.5,0,0,0,0,0,4.0,0.0,2018-08-12 18:40:00,2,Π.Υ. ΟΡΕΣΤΙΑΔΑΣ,1,0.0,ΔΙΔ/ΧΟΥ,0.0,0,0,ΝΕΟ ΧΕΙΜΩΝΙΟ,0.0,0,Δ. ΟΡΕΣΤΙΑΔΑΣ,0,ΕΒΡΟΥ,2018-08-12 18:14:00,0.0,0,0,0,0.0
ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΚΟΚΚΑΛΟΥΣ,4.0,0,0,0,0,0,0.0,0.0,2018-08-12 22:05:00,5,Π.Κ. ΣΤΑΥΡΟΥ ΘΕΣΣΑΛΟΝΙΚΗΣ,3,0.0,ΣΤΑΥΡΟΥ,0.0,0,0,ΑΠΟΛΛΩΝΙΑ,0.0,0,Δ. ΒΟΛΒΗΣ,0,ΘΕΣΣΑΛΟΝΙΚΗΣ,2018-08-12 20:35:00,0.0,0,0,0,0.0
Δ.Δ Ν. ΜΑΓΝΗΣΙΑ (ΛΑΧΑΝΟΚΗΠΟΙ),0.0,0,0,0,0,0,0.0,0.0,2018-08-12 15:00:00,4,6ος  Π.Σ. ΘΕΣΣΑΛΟΝΙΚΗΣ,2,0.0,ΘΕΣΣΑΛΟΝΙΚΗΣ,0.0,0,0,Ν. ΜΑΓΝΗΣΙΑ ,0.1,0,Δ. ΔΕΛΤΑ,0,ΘΕΣΣΑΛΟΝΙΚΗΣ,2018-08-12 14:01:00,0.0,0,0,0,0.0
ΑΓΡ. ΠΕΡ. ΑΣΠΡΟΥ,0.0,0,0,0,0,0,5.0,0.0,2018-08-12 21:30:00,2,Π.Υ. ΚΙΛΚΙΣ,1,0.0,ΚΙΛΚΙΣ,0.0,0,0,,0.0,0,Δ. ΠΑΙΟΝΙΑΣ,0,ΚΙΛΚΙΣ,2018-08-12 19:50:00,0.0,0,0,0,0.0
Τ.Κ. ΜΟΑΥΡΟΒΟΥΝΙΟΥ ΔΗΜΟΥ ΣΚΥΔΡΑΣ,0.1,0,0,0,0,0,0.0,0.0,,4,Π.Υ. ΕΔΕΣΣΑΣ,2,0.0,,0.0,0,0,,0.0,0,Δ. ΣΚΥΔΡΑΣ,0,ΠΕΛΛΑΣ,2018-08-12 18:39:00,0.0,0,0,0,0.0
ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΚΡΥΑΣ ΒΡΥΣΗΣ,0.0,0,0,0,0,0,0.0,0.0,2018-08-12 16:15:00,2,Π.Υ. ΓΙΑΝΝΙΤΣΩΝ,1,0.0,ΕΔΕΣΣΑΣ,0.0,0,0,,0.0,0,Δ. ΠΕΛΛΑΣ,0,ΠΕΛΛΑΣ,2018-08-12 15:30:00,0.1,0,0,0,0.0
ΑΓΡΟΤΙΚΗ ΠΕΡΙΟΧΗ ΠΛΑΤΕΟΣ,0.0,0,0,0,0,0,0.0,0.0,2018-08-12 16:35:00,4,Π.Υ. ΑΛΕΞΑΝΔΡΕΙΑΣ,2,0.0,ΒΕΡΟΙΑΣ,0.0,0,0,,0.0,0,Δ. ΑΛΕΞΑΝΔΡΕΙΑΣ,0,ΗΜΑΘΙΑΣ,2018-08-12 14:59:00,2.0,0,0,0,0.0
Ν.ΚΑΡΥΕΣ-Ν.ΛΕΥΚΗ,0.0,0,0,0,0,0,200.0,0.0,2018-08-12 13:15:00,2,1ος  Π.Σ. ΛΑΡΙΣΑΣ,1,0.0,ΛΑΡΙΣΑΣ,0.0,0,0,,0.0,0,Δ. ΚΙΛΕΛΕΡ,0,ΛΑΡΙΣΑΣ,2018-08-12 11:00:00,0.0,0,0,0,0.0
ΤΟΤΑΙΙΚΑ,2.0,0,0,0,0,0,0.0,0.0,2018-08-12 11:00:00,6,Π.Υ. ΒΙ.ΠΕ. ΠΑΤΡΩΝ,3,0.0,ΠΑΤΡΩΝ,0.0,0,0,ΣΑΓΑΙΙΚΑ,0.0,0,Δ. ΔΥΤΙΚΗΣ ΑΧΑΪΑΣ,0,ΑΧΑΙΑΣ,2018-08-12 09:18:00,0.0,0,0,0,0.0
ΑΓΙΟΣ ΠΑΝΤΕΛΕΗΜΟΝΑΣ ΑΝΤΙΡΡΙΟΥ,2.0,0,0,0,0,0,0.0,0.0,,6,Π.Υ. ΝΑΥΠΑΚΤΟΥ,3,0.0,ΝΑΥΠΑΚΤΟΥ,0.0,0,0,,0.0,0,Δ. ΝΑΥΠΑΚΤΙΑΣ,0,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,2018-08-12 12:07:00,0.0,0,0,0,0.0
ΡΟΥΠΑΚΙ,0.0,0,0,0,0,0,0.0,0.0,,12,Π.Υ. ΑΜΑΛΙΑΔΑΣ,6,0.0,ΑΜΑΛΙΑΔΑΣ,0.0,0,0,,0.0,0,Δ. ΠΗΝΕΙΟΥ,0,ΗΛΕΙΑΣ,2018-08-12 15:44:00,1.5,0,0,0,0.0
ΒΑΡΘΟΛΟΜΙΟ,0.0,0,0,0,0,0,1.0,0.0,2018-08-12 18:20:00,8,Π.Υ. ΛΕΧΑΙΝΩΝ,2,0.0,ΑΜΑΛΙΑΔΑΣ,0.0,0,2,ΒΑΡΘΟΛΟΜΙΟ,0.0,0,Δ. ΠΗΝΕΙΟΥ,0,ΗΛΕΙΑΣ,2018-08-12 17:15:00,0.0,0,0,0,0.0
