address,agricultural_area_burned,airplanes_cl215,airplanes_cl415,airplanes_gru,airplanes_pzl,army,crop_residue_area_burned,dumping_ground_area_burned,end_time,firefighters,fire_station,fire_trucks,forest_area_burned,forestry,grove_area_burned,helicopters,local_authorities_vehicles,location,low_vegetation_area_burned,machinery,municipality,other_firefighters,prefecture,start_time,swamp_area_burned,volunteers,water_tank_trucks,wildland_crew,woodland_area_burned
ΜΙΚΡΟΘΗΒΕΣ,2.0,0,0,0,0,0,0.0,0.0,2018-08-11 10:20:00,2,Π.Κ. ΑΛΜΥΡΟΥ,1,0.0,ΑΛΜΥΡΟΥ,0.0,0,0,,0.0,0,Δ. ΑΛΜΥΡΟΥ,0,ΜΑΓΝΗΣΙΑΣ,2018-08-11 09:09:00,0.0,0,0,0,0.0
ΠΡΟΑΣΤΙΟ,0.0,0,0,0,0,0,0.0,0.0,2018-08-11 22:40:00,2,Π.Υ. ΚΑΡΔΙΤΣΑΣ,1,0.0,,0.0,0,0,,1.0,0,Δ. ΚΑΡΔΙΤΣΑΣ,0,ΚΑΡΔΙΤΣΑΣ,2018-08-11 21:30:00,0.0,0,0,0,0.0
ΑΓΡΟΤ.ΠΕΡΙΟΧΗ ΜΑΡΚΟΥ,0.0,0,0,0,0,0,0.0,0.0,2018-08-11 13:00:00,2,Π.Υ. ΠΑΛΑΜΑ,1,0.0,ΚΑΡΔΙΤΣΑΣ,0.0,0,0,,1.0,0,Δ. ΠΑΛΑΜΑ,0,ΚΑΡΔΙΤΣΑΣ,2018-08-11 12:20:00,0.0,0,0,0,0.0
ΤΕΙ ΜΕΣΟΛΟΓΓΙΟΥ,0.0,0,0,0,0,0,0.0,0.0,2018-08-11 09:30:00,0,Π.Υ. ΜΕΣΟΛΟΓΓΙΟΥ,0,0.0,ΜΕΣΟΛΟΓΓΙΟΥ,0.0,0,0,,0.0,0,Δ. ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,0,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,2018-08-11 09:20:00,2.0,0,0,0,0.0
ΤΕΙ ΜΕΣΟΛΟΓΓΙΟΥ,0.0,0,0,0,0,0,0.0,0.0,2018-08-11 18:00:00,0,Π.Υ. ΜΕΣΟΛΟΓΓΙΟΥ,0,0.0,ΜΕΣΟΛΟΓΓΙΟΥ,0.0,0,0,ΜΕΣΟΛΟΓΓΙ,0.0,0,Δ. ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,0,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,2018-08-11 16:40:00,2.0,0,0,0,0.0
ΑΛΜΥΡΑΚΙ ΜΕΣΟΛΟΓΓΙΟΥ,0.0,0,0,0,0,0,0.0,0.0,2018-08-11 17:30:00,2,Π.Υ. ΜΕΣΟΛΟΓΓΙΟΥ,1,0.0,ΜΕΣΟΛΟΓΓΙΟΥ,0.0,0,0,ΜΕΣΟΛΟΓΓΙ,1.0,0,Δ. ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,0,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,2018-08-11 16:45:00,0.0,0,0,0,0.0
ΠΛΑΤΑΝΟΣ ΚΑΛΥΒΙΩΝ,0.0,0,0,0,0,0,0.0,0.0,2018-08-11 14:00:00,4,Π.Υ. ΑΓΡΙΝΙΟΥ,2,0.0,ΑΓΡΙΝΙΟΥ,0.0,0,0,ΚΑΛΥΒΙΑ,0.0,0,Δ. ΑΓΡΙΝΙΟΥ,0,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,2018-08-11 13:00:00,0.1,0,0,0,0.0
Τ.Κ. ΞΗΡΟΠΗΓΑΔΟ,1.0,0,0,0,2,0,0.0,0.0,2018-08-11 21:10:00,7,Π.Κ. ΑΣΤΡΟΥΣ,4,0.0,ΚΥΝΟΥΡΙΑΣ,0.0,0,0,,0.0,0,Δ. ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ,0,ΑΡΚΑΔΙΑΣ,2018-08-11 14:38:00,0.0,0,0,0,0.0
ΑΓ.ΑΝΑΡΓΥΡΟΙ,0.0,0,0,0,0,0,0.0,0.0,,4,Π.Υ. ΣΠΑΡΤΗΣ,2,0.0,ΣΠΑΡΤΗ,0.0,0,0,,0.0,0,Δ. ΕΥΡΩΤΑ,1,ΛΑΚΩΝΙΑΣ,2018-08-11 07:00:00,0.0,0,0,0,0.1
ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,1.0,0,0,0,0,0,0.0,0.0,,8,Π.Κ. ΤΡΟΙΖΗΝΑΣ,4,0.0,,0.0,0,0,,0.0,0,Δ. ΤΡΟΙΖΗΝΙΑΣ,0,ΑΤΤΙΚΗΣ,2018-08-11 15:15:00,0.0,0,0,0,0.0
ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,0.2,0,0,0,0,0,0.0,0.0,2018-08-11 15:20:00,6,Π.Υ. ΧΑΛΚΙΔΑΣ,3,0.0,,0.0,0,0,ΒΑΣΙΛΙΚΟ,0.0,0,Δ. ΧΑΛΚΙΔΕΩΝ,0,ΕΥΒΟΙΑΣ,2018-08-11 14:15:00,0.0,0,0,0,0.0
ΜΕΛΑΜΠΕΣ ΔΗΜΟΥ ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ,0.0,0,0,0,0,0,0.0,0.0,2018-08-12 21:30:00,24,Π.Κ. ΣΠΗΛΙΟΥ,8,0.0,ΡΕΘΥΜΝΗΣ,0.0,0,0,ΜΕΛΑΜΠΕΣ,15.0,0,Δ. ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ,0,ΡΕΘΥΜΝΟΥ,2018-08-11 10:01:00,0.0,0,0,11,3.0
ΑΛΚΥΩΝΗΣ,0.0,0,0,0,0,0,0.0,0.0,2018-08-13 11:00:00,6, 9ος Π.Σ. ΑΘΗΝΩΝ,9,0.0,ΠΕΝΤΕΛΗΣ,0.0,0,0,ΣΤΑΜΑΤΑ,0.0,0,Δ. ΔΙΟΝΥΣΟΥ,0,ΑΤΤΙΚΗΣ,2018-08-12 23:34:00,0.0,18,0,0,0.01
ΝΤΑΜΑΡΙ ΠΕΡΡΑΚΗ,0.0,0,0,0,0,0,0.0,0.0,2018-08-12 20:20:00,4,Π.Υ. ΝΕΑΣ ΜΑΚΡΗΣ,2,0.0,ΚΑΠΑΝΔΡΙΤΙΟΥ,0.0,0,0,,0.0,0,Δ. ΜΑΡΑΘΩΝΟΣ,0,ΑΤΤΙΚΗΣ,2018-08-12 19:30:00,0.0,0,0,0,1.0
ΑΓΙΑ ΜΑΡΙΝΑ,0.0,0,0,0,0,0,0.0,0.0,2018-08-12 20:15:00,10,Π.Υ. ΚΡΩΠΙΑΣ,0,10.0,,0.0,0,0,,0.0,0,Δ. ΚΡΩΠΙΑΣ,0,ΑΤΤΙΚΗΣ,2018-08-12 13:18:00,0.0,0,0,1,0.0
